   System Information:
   ----------------------------------------------------
     Number of correlated electrons = 20
     Number of correlated orbitals = 266
     Number of frozen orbitals = 2
     Number of alpha occupied orbitals = 10
     Number of alpha unoccupied orbitals = 256
     Number of beta occupied orbitals = 10
     Number of beta unoccupied orbitals = 256
     Charge = 0
     Point group = D2H
     Symmetry of reference = AG
     Spin multiplicity of reference = 1

      MO #        Energy (a.u.)      Symmetry    Occupation
-----------------------------------------------------------
         1           -49.031279           B1U           2.0
         2           -49.031279            AG           2.0
         3            -3.767398            AG           2.0
         4            -3.767398           B1U           2.0
         5            -2.281899            AG           2.0
         6            -2.281899           B3U           2.0
         7            -2.281899           B2U           2.0
         8            -2.281899           B2G           2.0
         9            -2.281899           B3G           2.0
        10            -2.281899           B1U           2.0
        11            -0.282700            AG           2.0
        12            -0.227100           B1U           2.0
        13             0.010100           B3U           0.0
        14             0.010100           B2U           0.0
        15             0.012700            AG           0.0
        16             0.015000           B1U           0.0
        17             0.023200           B2G           0.0
        18             0.023200           B3G           0.0
        19             0.029500            AG           0.0
        20             0.035500            AG           0.0
        21             0.035900           B3U           0.0
        22             0.035900           B2U           0.0
        23             0.047400           B1U           0.0
        24             0.058100           B2G           0.0
        25             0.058100           B3G           0.0
        26             0.073200           B1U           0.0
        27             0.093800            AG           0.0
        28             0.093800           B1G           0.0
        29             0.113100           B3U           0.0
        30             0.113100           B2U           0.0
        31             0.116700            AG           0.0
        32             0.123100            AU           0.0
        33             0.123100           B1U           0.0
        34             0.129200            AG           0.0
        35             0.130700           B1U           0.0
        36             0.134200           B2U           0.0
        37             0.134200           B3U           0.0
        38             0.144500           B2G           0.0
        39             0.144500           B3G           0.0
        40             0.155800           B2G           0.0
        41             0.155800           B3G           0.0
        42             0.169200           B1U           0.0
        43             0.172000            AG           0.0
        44             0.238500           B1U           0.0
        45             0.249400           B2U           0.0
        46             0.249400           B3U           0.0
        47             0.259800           B1G           0.0
        48             0.259800            AG           0.0
        49             0.283800           B3U           0.0
        50             0.283800           B2U           0.0
        51             0.288500           B3G           0.0
        52             0.288500           B2G           0.0
        53             0.306400            AG           0.0
        54             0.309200            AG           0.0
        55             0.309200           B1G           0.0
        56             0.324600            AU           0.0
        57             0.324600           B1U           0.0
        58             0.327100           B2G           0.0
        59             0.327100           B3G           0.0
        60             0.333500           B1U           0.0
        61             0.341900            AG           0.0
        62             0.350000           B3U           0.0
        63             0.350000           B2U           0.0
        64             0.350100            AU           0.0
        65             0.350100           B1U           0.0
        66             0.387500           B3G           0.0
        67             0.387500           B2G           0.0
        68             0.391200           B2U           0.0
        69             0.391200           B3U           0.0
        70             0.410600           B1U           0.0
        71             0.471700           B3G           0.0
        72             0.471700           B2G           0.0
        73             0.493700            AG           0.0
        74             0.500700            AG           0.0
        75             0.518100           B1U           0.0
        76             0.593500           B3U           0.0
        77             0.593500           B2U           0.0
        78             0.617500           B1G           0.0
        79             0.617500            AG           0.0
        80             0.629300            AG           0.0
        81             0.629300           B1G           0.0
        82             0.644900           B1U           0.0
        83             0.646700            AU           0.0
        84             0.646700           B1U           0.0
        85             0.673100           B2U           0.0
        86             0.673100           B3U           0.0
        87             0.674600            AG           0.0
        88             0.712200           B2G           0.0
        89             0.712200           B3G           0.0
        90             0.727800           B2G           0.0
        91             0.727800           B3G           0.0
        92             0.738900            AG           0.0
        93             0.738900           B1G           0.0
        94             0.741700           B1U           0.0
        95             0.741700            AU           0.0
        96             0.775900           B3U           0.0
        97             0.775900           B2U           0.0
        98             0.781700           B2U           0.0
        99             0.781700           B3U           0.0
       100             0.789200           B1U           0.0
       101             0.796600            AG           0.0
       102             0.796600           B1G           0.0
       103             0.798800           B3G           0.0
       104             0.798800           B2G           0.0
       105             0.812300            AG           0.0
       106             0.821400            AU           0.0
       107             0.821400           B1U           0.0
       108             0.848900           B2G           0.0
       109             0.848900           B3G           0.0
       110             0.860800           B1U           0.0
       111             0.860800            AU           0.0
       112             0.874100           B1U           0.0
       113             0.874700           B3U           0.0
       114             0.874700           B2U           0.0
       115             1.004600            AG           0.0
       116             1.020300           B1U           0.0
       117             1.048700           B3G           0.0
       118             1.048700           B2G           0.0
       119             1.075200           B2U           0.0
       120             1.075200           B3U           0.0
       121             1.124900           B3G           0.0
       122             1.124900           B2G           0.0
       123             1.127700            AG           0.0
       124             1.426999           B1U           0.0
       125             1.573299            AG           0.0
       126             1.573299           B1G           0.0
       127             1.583499           B3U           0.0
       128             1.583499           B2U           0.0
       129             1.588399           B1U           0.0
       130             1.588399            AU           0.0
       131             1.639199            AG           0.0
       132             1.655399           B2G           0.0
       133             1.655399           B3G           0.0
       134             1.738199           B1U           0.0
       135             1.769399           B3U           0.0
       136             1.769399           B2U           0.0
       137             1.770999           B1G           0.0
       138             1.770999            AG           0.0
       139             1.783699           B1U           0.0
       140             1.783699            AU           0.0
       141             1.785099            AG           0.0
       142             1.807599           B2G           0.0
       143             1.807599           B3G           0.0
       144             1.808199            AG           0.0
       145             1.808199           B1G           0.0
       146             1.843699           B1U           0.0
       147             1.843699            AU           0.0
       148             1.848899           B2U           0.0
       149             1.848899           B3U           0.0
       150             1.871699            AG           0.0
       151             1.871699           B1G           0.0
       152             1.872599           B2U           0.0
       153             1.872599           B3U           0.0
       154             1.881199           B2G           0.0
       155             1.881199           B3G           0.0
       156             1.887499           B3G           0.0
       157             1.887499           B2G           0.0
       158             1.903699           B2U           0.0
       159             1.903699           B3U           0.0
       160             1.915799           B1U           0.0
       161             1.923299           B1U           0.0
       162             1.923299            AU           0.0
       163             2.000399            AG           0.0
       164             2.036699           B3G           0.0
       165             2.036699           B2G           0.0
       166             2.170099           B1U           0.0
       167             2.664699            AG           0.0
       168             2.736599           B1U           0.0
       169             3.578298            AG           0.0
       170             3.578298           B1G           0.0
       171             3.584298           B2U           0.0
       172             3.584298           B3U           0.0
       173             3.592298            AU           0.0
       174             3.592298           B1U           0.0
       175             3.639298            AG           0.0
       176             3.671698           B2G           0.0
       177             3.671698           B3G           0.0
       178             3.783798           B1U           0.0
       179             4.359098           B2U           0.0
       180             4.359098           B3U           0.0
       181             4.379798           B3G           0.0
       182             4.379798           B2G           0.0
       183             4.404098            AG           0.0
       184             4.638498           B1U           0.0
       185             5.293498            AG           0.0
